"Country","City/Town","Address/Location","Latitude","Longitude","Coordinates","Location Type","ID #","Incident Reporting Date","Incident Start Date","Incident End Date","Trafficking Type","Trafficking Sub-Type","Recruitment Method","Control Method","Transportation Method","Trafficker Nationality","Trafficker Gender","Trafficker Age","Victim Nationality","Victim Gender","Victim Age","Incident Summary","URL Source Article","Info Source","BoI Name","BOI Type","BoI Location","BoI Open Hours","Data Provider","Data Source"
"United States","","","","","37.25022,-119.75126","Rescued","600e29f36d1179f8bd82b404","","","","Child Trafficking","Sexual Servitude","","Minor","","","","","","","","","https://fox8.com/news/fbi-33-missing-children-rescued-during-human-trafficking-awareness-month/","Internet/URL","","","","","","tah"
"United States","","","","","41.47221,-87.37637","Reference","600e29f36d1179f8bd82b419","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://www.lakeconews.com/news/67879-human-trafficking-awareness-month-places-focus-on-multibillion-dollar-crime","Internet/URL","","","","","","tah"
"United States","","","","","37.25022,-119.75126","Unknown","600e29f36d1179f8bd82b419","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://www.lakeconews.com/news/67879-human-trafficking-awareness-month-places-focus-on-multibillion-dollar-crime","Internet/URL","","","","","","tah"
"United States","","","","","34.05223,-118.24368","Arrest","600e29f36d1179f8bd82b405","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://www.fox5dc.com/news/33-missing-kids-recovered-in-joint-los-angeles-based-operation-combatting-human-trafficking","Internet/URL","","","","","","tah"
"United States","","","","","44.25029,-85.50033","Target","600e29f36d1179f8bd82b418","","","","Child Trafficking","Illicit Activities","","Forced","","","","","","","","","https://www.wlns.com/news/human-trafficking-myths-on-social-media-versus-reality/","Internet/URL","","","","","","tah"
"United States","","","","","40.25034,-83.00018","Source","600e29f36d1179f8bd82b418","","","","Child Trafficking","Illicit Activities","","Forced","","","","","","","","","https://www.wlns.com/news/human-trafficking-myths-on-social-media-versus-reality/","Internet/URL","","","","","","tah"
"United States","","","","","41.32199,-84.20439","Target","600e29f36d1179f8bd82b418","","","","Child Trafficking","Illicit Activities","","Forced","","","","","","","","","https://www.wlns.com/news/human-trafficking-myths-on-social-media-versus-reality/","Internet/URL","","","","","","tah"
"United States","","","","","32.75041,-89.75036","Source","600e29f36d1179f8bd82b411","","","","Child Trafficking","Illicit Activities","","Forced","","","","","","","","","https://www.clarionledger.com/story/opinion/2021/01/22/mississippi-human-trafficking-what-you-can-do/4230689001/","Internet/URL","","","","","","tah"
"United States","","","","","44.25029,-85.50033","Arrest","600e29f36d1179f8bd82b420","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://www.monroenews.com/news/20210123/lenawee-coalition-to-host-anti-human-trafficking-panel","Internet/URL","","","","","","tah"
"United States","","","","","47.50012,-120.50147","Reference","600e29f36d1179f8bd82b40b","","","","Child Trafficking","Illicit Activities","","Forced","","","","","","","","","https://www.ice.gov/news/releases/dhs-launches-new-center-countering-human-trafficking","Internet/URL","","","","","","tah"
"United States","","","","","46.78327,-92.10658","Unknown","600e29f36d1179f8bd82b427","","","","Child Trafficking","Servitude","","Minor","","","","","","","","","https://www.wdio.com/superior-wisconsin-news/superior-teen-human-trafficking-fundraiser-/5987502/?cat=10335","Internet/URL","","","","","","tah"
"United States","","","","","39.95276,-105.1686","Unknown","600e29f36d1179f8bd82b427","","","","Child Trafficking","Servitude","","Minor","","","","","","","","","https://www.wdio.com/superior-wisconsin-news/superior-teen-human-trafficking-fundraiser-/5987502/?cat=10335","Internet/URL","","","","","","tah"
"United States","","","","","34.05223,-118.24368","Arrest","600e29f36d1179f8bd82b409","","","","Child Trafficking","Personal Sexual Servitude","","Minor","","","","","","","","","https://abc7.com/missing-kids-fbi-operation-33-recovered-in-socal-human-trafficking-sex/9923823","Internet/URL","","","","","","tah"
"Mexico","","","","","19.42847,-99.12766","Rescued","600e29f36d1179f8bd82b410","","","","Forced Criminality","Illicit Activities","","Forced","","","","","","","","","https://www.reuters.com/article/mexico-trafficking/mexico-human-trafficking-cases-stall-as-coronavirus-bites-idUSL8N2JW55M","Internet/URL","","","","","","tah"
"Mexico","","","","","19.32418,-98.22958","Unknown","600e29f36d1179f8bd82b410","","","","Forced Criminality","Illicit Activities","","Forced","","","","","","","","","https://www.reuters.com/article/mexico-trafficking/mexico-human-trafficking-cases-stall-as-coronavirus-bites-idUSL8N2JW55M","Internet/URL","","","","","","tah"
"Mexico","","","","","19.81839,-90.53009","Unknown","600e29f36d1179f8bd82b410","","","","Forced Criminality","Illicit Activities","","Forced","","","","","","","","","https://www.reuters.com/article/mexico-trafficking/mexico-human-trafficking-cases-stall-as-coronavirus-bites-idUSL8N2JW55M","Internet/URL","","","","","","tah"
"Mexico","","","","","19.17953,-103.68011","Unknown","600e29f36d1179f8bd82b410","","","","Forced Criminality","Illicit Activities","","Forced","","","","","","","","","https://www.reuters.com/article/mexico-trafficking/mexico-human-trafficking-cases-stall-as-coronavirus-bites-idUSL8N2JW55M","Internet/URL","","","","","","tah"
"United States","","","","","31.25044,-99.25061","Source","600e29f36d1179f8bd82b407","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://www.statesman.com/story/opinion/columns/your-voice/2021/01/22/texas-fight-against-child-sex-trafficking-still-has-work-left/4238753001/","Internet/URL","","","","","","tah"
"United States","","","","","44.00013,-120.50139","Target","600e29f36d1179f8bd82b416","","","","Forced Criminality","Prostitution/Brothel/Escort Agency","","Forced","","","","","","","","","https://www.dailydemocrat.com/2021/01/21/woodland-police-release-video-on-human-trafficking-in-the-city","Internet/URL","","","","","","tah"
"United States","","","","","36.17497,-115.13722","Unknown","600e29f36d1179f8bd82b416","","","","Forced Criminality","Prostitution/Brothel/Escort Agency","","Forced","","","","","","","","","https://www.dailydemocrat.com/2021/01/21/woodland-police-release-video-on-human-trafficking-in-the-city","Internet/URL","","","","","","tah"
"United States","","","","","34.5003,-111.50098","Unknown","600e1fd9c1c15948264d3ee2","","","","Child Sexual Exploitation","Accommodation/Hotel/Motel","","Minor","","","","","","","","","https://www.8newsnow.com/news/local-news/hotel-housekeeper-took-womens-panties-from-guests-left-note-with-phone-number-police-say-laughlin-nevada/","Internet/URL","","","","","","tah"
"United States","","","","","39.25021,-116.75119","Unknown","600e1fd9c1c15948264d3ee2","","","","Child Sexual Exploitation","Accommodation/Hotel/Motel","","Minor","","","","","","","","","https://www.8newsnow.com/news/local-news/hotel-housekeeper-took-womens-panties-from-guests-left-note-with-phone-number-police-say-laughlin-nevada/","Internet/URL","","","","","","tah"
"India","","","","","19.5,84.5","Unknown","600e1fd9c1c15948264d3ecc","","","","Child Marriage","Child Marriage","","Restricts Access to/Manipulates Children","","","","","","","","","https://news.developervibes.com/to-check-child-marriages-uid-mandatory-in-odisha-district-india-news/","Internet/URL","","","","","","tah"
"United States","","","","","43.0389,-87.90647","Victim_Origin_Nationality","600e29f36d1179f8bd82b426","","","","Child Trafficking","Sexual Servitude","","Forced","","","","","","","","","https://www.uschamber.com/event/covid-19-s-impact-human-trafficking","Internet/URL","","","","","","tah"
"United States","","","","","31.54933,-97.14667","Victim_Origin_Nationality","600e29f36d1179f8bd82b426","","","","Child Trafficking","Sexual Servitude","","Forced","","","","","","","","","https://www.uschamber.com/event/covid-19-s-impact-human-trafficking","Internet/URL","","","","","","tah"
"United States","","","","","31.25044,-99.25061","Victim_Origin_Nationality","600e29f36d1179f8bd82b426","","","","Child Trafficking","Sexual Servitude","","Forced","","","","","","","","","https://www.uschamber.com/event/covid-19-s-impact-human-trafficking","Internet/URL","","","","","","tah"
"United States","","","","","34.05223,-118.24368","Arrest","600f6bc5c0bdab725fc8aa98","","","","Child Trafficking","Personal Sexual Servitude","","Minor","","","","","","","","","https://www.ibtimes.com/fbis-los-angeles-human-trafficking-probe-operation-lost-angels-rescues-33-missing-3129422","Internet/URL","","","","","","tah"
"United States","","","","","34.05223,-118.24368","Arrest","600f6bc5c0bdab725fc8aaa1","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://www.q106dot5.com/news/33-missing-children-found-in-anti-human-trafficking-operation-in-southern-california/","Internet/URL","","","","","","tah"
"United States","","","","","31.00047,-92.0004","Unknown","600f6bc5c0bdab725fc8aa97","","","","Child Trafficking","Sexual Servitude","","Minor","","","","","","","","","https://www.dailytelegraph.com.au/news/human-trafficking-operation-sees-33-missing-children-rescued-in-la/news-story/35fdeae914729e9775b6a63747a66808?nk=b3d3946bd3a2c9c7720a7ceb3eade2d7-1611506862","Internet/URL","","","","","","tah"
"United States","","","","","40.90056,-73.90639","Unknown","600f6bc5c0bdab725fc8aa97","","","","Child Trafficking","Sexual Servitude","","Minor","","","","","","","","","https://www.dailytelegraph.com.au/news/human-trafficking-operation-sees-33-missing-children-rescued-in-la/news-story/35fdeae914729e9775b6a63747a66808?nk=b3d3946bd3a2c9c7720a7ceb3eade2d7-1611506862","Internet/URL","","","","","","tah"
"United States","","","","","34.05223,-118.24368","Arrest","600f6bc5c0bdab725fc8aa8f","","","","Child Trafficking","Personal Sexual Servitude","","Minor","","","","","","","","","https://www.nbcphiladelphia.com/news/national-international/33-missing-children-rescued-in-los-angeles-trafficking-operation/2677850/","Internet/URL","","","","","","tah"
"United States","","","","","34.05223,-118.24368","Arrest","600f6bc5c0bdab725fc8aaaa","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://www.y102montgomery.com/news/33-missing-children-found-in-anti-human-trafficking-operation-in-southern-california/","Internet/URL","","","","","","tah"
"United States","","","","","34.05223,-118.24368","Arrest","600f6bc5c0bdab725fc8aa8d","","","","Child Trafficking","Prostitution/Brothel/Escort Agency","","Minor","","","","","","","","","https://neonnettle.com/news/13978-33-children-rescued-in-la-during-massive-child-sex-trafficking-bust","Internet/URL","","","","","","tah"
"United States","","","","","34.05223,-118.24368","Arrest","600f6bc5c0bdab725fc8aa9e","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://krdo.com/news/national-world/2021/01/23/33-missing-children-found-in-anti-human-trafficking-operation-in-southern-california/","Internet/URL","","","","","","tah"
"United States","","","","","40.90056,-73.90639","Unknown","600f6bc5c0bdab725fc8aa92","","","","Child Trafficking","","","Minor","SEAPORT","","","","","","","","https://www.news.com.au/world/north-america/human-trafficking-operation-sees-33-missing-children-rescued-in-la/news-story/35fdeae914729e9775b6a63747a66808","Internet/URL","","","","","","tah"
"United States","","","","","34.05223,-118.24368","Arrest","600f6bc5c0bdab725fc8aaa6","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://www.93q.com/news/33-missing-children-found-in-anti-human-trafficking-operation-in-southern-california/","Internet/URL","","","","","","tah"
